WP_010422183.1,P61343.1,32.0,40.541
WP_010976817.1,Q9S3N1.1,38.5,29.213
WP_011270372.1,P40819.2,40.4,31.148
WP_011270373.1,Q1RKH8.1,30.8,66.667
WP_011270479.1,O31980.1,32.3,51.613
WP_011270501.1,Q0CKU1.1,34.3,25.556
WP_011270510.1,O07227.1,32.3,38.71
WP_011270512.1,Q7XD96.2,32.0,20.0
WP_011270541.1,Q1DR06.1,30.4,41.026
WP_011270552.1,M3W955.2,43.1,25.0
WP_011270584.1,P43098.1,31.2,29.0
WP_011270589.1,Q7SXB5.1,32.7,25.397
WP_011270590.1,P45370.2,52.8,23.129
WP_011270604.1,Q06758.1,46.6,30.851
WP_011270609.1,Q8CHI8.3,29.3,35.385
WP_011270610.1,Q01004.1,36.2,31.304
WP_011270618.1,Q5UR04.1,55.8,29.885
WP_011270624.1,P9WF20.1,38.1,31.169
WP_011270662.1,A2R7P5.1,43.5,29.412
WP_011270666.1,Q22682.3,50.1,27.815
WP_011270671.1,Q4UKG8.1,38.9,66.667
WP_011270695.1,Q57606.1,35.4,38.596
WP_011270729.1,Q9DCQ3.1,28.5,44.444
WP_011270732.1,Q47421.2,42.7,23.556
WP_011270734.1,P40862.2,51.2,39.062
WP_011270739.1,P34529.3,34.3,33.929
WP_011270751.1,Q5E4H8.1,53.9,26.0
WP_011270756.1,Q6PGP7.1,41.2,29.167
WP_011270759.1,Q8XKF6.1,48.9,41.772
WP_011270763.1,P0A0C0.1,52.0,24.498
WP_011270775.1,Q4IL82.1,32.3,33.898
WP_011270779.1,Q54BK0.1,30.8,26.389
WP_011270780.1,A1Z198.1,73.2,21.81
WP_011270795.1,Q7VSX6.1,50.1,23.497
WP_011270820.1,P42597.2,40.4,38.0
WP_011270827.1,Q9JI93.1,42.0,26.178
WP_011270838.1,Q9L7Q2.2,38.5,34.677
WP_011270839.1,P37513.1,44.3,36.145
WP_011270852.1,B2A526.1,32.7,37.5
WP_011270869.1,P65028.1,36.6,33.333
WP_011270874.1,P65347.1,48.5,26.891
WP_011270877.1,Q9Z6M5.1,46.2,32.308
WP_011270893.1,B8GSD2.1,31.2,53.846
WP_011270915.1,O27435.1,59.3,25.256
WP_011270931.1,P16433.2,30.0,24.242
WP_011270992.1,P50024.1,55.5,27.083
WP_011271010.1,A2BGU9.1,55.1,23.853
WP_011271024.1,P04052.4,34.7,29.091
WP_011271032.1,Q9M8W7.1,32.3,34.043
WP_011271034.1,Q84W06.2,33.9,31.646
WP_011271061.1,P9WF14.1,38.1,35.556
WP_011271062.1,Q8ZZP3.1,37.0,39.13
WP_011271077.1,P40071.1,38.1,26.271
WP_011271104.1,P19650.1,45.1,23.718
WP_011271108.1,O50462.1,32.7,32.836
WP_011271112.1,P17442.2,39.7,29.07
WP_011271117.1,P40819.2,34.3,37.5
WP_011271120.1,C5CIU9.1,34.3,27.358
WP_011271122.1,A0A0H3CCP8.1,47.0,43.421
WP_011271148.1,B8J4L3.1,35.0,32.812
WP_011271151.1,A8ER62.1,31.2,39.286
WP_011271163.1,P45423.1,49.3,32.323
WP_011271179.1,Q54HL0.1,38.5,21.094
WP_011271185.1,Q1RI12.1,45.1,50.0
WP_011271212.1,Q55A00.1,43.5,31.25
WP_011271252.1,A7N1X9.1,35.4,45.455
WP_011271261.1,Q9YER5.2,31.2,63.636
WP_011271263.1,Q57606.1,35.0,40.0
WP_011271269.1,Q3ITQ4.1,39.7,33.333
WP_011271279.1,P0C077.1,41.2,31.325
WP_011271280.1,P55533.1,36.6,28.986
WP_011271291.1,P37500.1,41.6,24.051
WP_011271294.1,Q74N29.1,35.8,32.468
WP_011271298.1,P17622.1,44.3,36.066
WP_011271300.1,P44154.1,51.2,21.256
WP_011271309.1,P0A130.1,56.2,30.435
WP_011271322.1,P41785.1,31.6,27.083
WP_011271370.1,Q3ITQ4.1,52.4,37.179
WP_011271408.1,Q9CD89.1,49.7,27.465
WP_011271409.1,Q05581.3,48.5,28.75
WP_011271435.1,Q49W87.1,43.1,32.184
