WP_004596213.1,WP_004596213.1 MULTISPECIES: 50S ribosomal protein L29 [Rickettsia]
WP_004996647.1,WP_004996647.1 MULTISPECIES: 30S ribosomal protein S12 [Rickettsia]
WP_004996682.1,WP_004996682.1 MULTISPECIES: DUF2312 domain-containing protein [Rickettsia]
WP_004997072.1,WP_004997072.1 MULTISPECIES: 50S ribosomal protein L33 [Rickettsia]
WP_004997429.1,WP_004997429.1 MULTISPECIES: acyl carrier protein [spotted fever group]
WP_004997480.1,WP_004997480.1 MULTISPECIES: 50S ribosomal protein L21 [Rickettsia]
WP_004997924.1,WP_004997924.1 MULTISPECIES: 50S ribosomal protein L35 [Rickettsia]
WP_004998227.1,WP_004998227.1 MULTISPECIES: 50S ribosomal protein L36 [Rickettsia]
WP_008579275.1,WP_008579275.1 MULTISPECIES: 50S ribosomal protein L32 [spotted fever group]
WP_008579420.1,WP_008579420.1 MULTISPECIES: HU family DNA-binding protein [spotted fever group]
WP_008580257.1,WP_008580257.1 MULTISPECIES: P-type conjugative transfer protein VirB9 [Rickettsia]
WP_008580317.1,WP_008580317.1 MULTISPECIES: phosphatidylcholine/phosphatidylserine synthase [Rickettsia]
WP_008580323.1,WP_008580323.1 MULTISPECIES: RNA pyrophosphohydrolase [spotted fever group]
WP_008580920.1,WP_008580920.1 MULTISPECIES: 30S ribosomal protein S11 [Rickettsia]
WP_008580952.1,WP_008580952.1 MULTISPECIES: 50S ribosomal protein L14 [spotted fever group]
WP_008580964.1,WP_008580964.1 MULTISPECIES: 30S ribosomal protein S19 [Rickettsia]
WP_010420471.1,WP_010420471.1 MULTISPECIES: deoxycytidine triphosphate deaminase [Rickettsia]
WP_010420625.1,WP_010420625.1 MULTISPECIES: 30S ribosomal protein S18 [spotted fever group]
WP_010420727.1,WP_010420727.1 MULTISPECIES: ATP synthase subunit C [Rickettsia]
WP_010422183.1,WP_010422183.1 MULTISPECIES: hypothetical protein [spotted fever group]
WP_010976817.1,WP_010976817.1 MULTISPECIES: type VI secretion protein [spotted fever group]
WP_010976947.1,WP_010976947.1 MULTISPECIES: DUF2671 domain-containing protein [spotted fever group]
WP_011270358.1,WP_011270358.1 phosphoenolpyruvate synthetase regulatory protein [Rickettsia felis]
WP_011270360.1,WP_011270360.1 ABC transporter ATP-binding protein [Rickettsia felis]
WP_011270361.1,WP_011270361.1 ABC transporter permease [Rickettsia felis]
WP_011270362.1,WP_011270362.1 bifunctional glutamate synthase subunit beta/2-polyprenylphenol hydroxylase [Rickettsia felis]
WP_011270363.1,WP_011270363.1 acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase [Rickettsia felis]
WP_011270364.1,WP_011270364.1 beta-hydroxyacyl-ACP dehydratase [Rickettsia felis]
WP_011270365.1,WP_011270365.1 UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase [Rickettsia felis]
WP_011270369.1,WP_011270369.1 tRNA-dihydrouridine synthase [Rickettsia felis]
WP_011270370.1,WP_011270370.1 hypothetical protein [Rickettsia felis]
WP_011270372.1,WP_011270372.1 type II toxin-antitoxin system Phd/YefM family antitoxin [Rickettsia felis]
WP_011270373.1,WP_011270373.1 toxin [Rickettsia felis]
WP_011270374.1,WP_011270374.1 hypothetical protein [Rickettsia felis]
WP_011270375.1,WP_011270375.1 zinc ABC transporter substrate-binding protein [Rickettsia felis]
WP_011270376.1,WP_011270376.1 CCA tRNA nucleotidyltransferase [Rickettsia felis]
WP_011270379.1,WP_011270379.1 autotransporter domain-containing protein [Rickettsia felis]
WP_011270380.1,WP_011270380.1 hypothetical protein [Rickettsia felis]
WP_011270384.1,WP_011270384.1 ATP synthase subunit B [Rickettsia felis]
WP_011270385.1,WP_011270385.1 F0F1 ATP synthase subunit B' [Rickettsia felis]
WP_011270386.1,WP_011270386.1 ATP synthase subunit A [Rickettsia felis]
WP_011270388.1,WP_011270388.1 protein disulfide oxidoreductase [Rickettsia felis]
WP_011270389.1,WP_011270389.1 CarD family transcriptional regulator [Rickettsia felis]
WP_011270390.1,WP_011270390.1 methyltransferase domain-containing protein [Rickettsia felis]
WP_011270396.1,WP_011270396.1 hypothetical protein [Rickettsia felis]
WP_011270399.1,WP_011270399.1 SCO2-like protein [Rickettsia felis]
WP_011270400.1,WP_011270400.1 YqgE/AlgH family protein [Rickettsia felis]
WP_011270401.1,WP_011270401.1 colicin V biosynthesis protein [Rickettsia felis]
WP_011270406.1,WP_011270406.1 transposase [Rickettsia felis]
WP_011270409.1,WP_011270409.1 porin [Rickettsia felis]
WP_011270410.1,WP_011270410.1 protein-export protein SecB [Rickettsia felis]
WP_011270411.1,WP_011270411.1 DNA-binding response regulator [Rickettsia felis]
WP_011270412.1,WP_011270412.1 NADPH-dependent 7-cyano-7-deazaguanine reductase QueF [Rickettsia felis]
WP_011270413.1,WP_011270413.1 DUF1013 domain-containing protein [Rickettsia felis]
WP_011270414.1,WP_011270414.1 NAD synthetase [Rickettsia felis]
WP_011270415.1,WP_011270415.1 membrane protein [Rickettsia felis]
WP_011270416.1,WP_011270416.1 S-adenosylmethionine uptake transporter [Rickettsia felis]
