WP_011270358.1,273,hypothetical protein RF_0001,200,27.27,22.54,48.33,Azospirillum brasilense Sp245,0
WP_011270359.1,153,thioredoxin,182,19.06,9.96,62.55,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270360.1,247,O-antigen export system ATP-binding protein RfbE,194,26.34,13.49,50.94,Gluconobacter oxydans H24,0
WP_011270361.1,258,O-antigen export system permease protein RfbA,192,27.74,14.23,24.06,Lentibacillus sp. Grbi,0
WP_011270362.1,1075,bifunctional glutamate synthase subunit beta/2-polyprenylphenol hydroxylase,161,23.37,18.04,13.4,Nitrosomonas sp. AL212,0
WP_011270363.1,264,UDP-N-acetylglucosamine acyltransferase,198,27.41,14.39,71.8,Rhodospirillum centenum SW,0
WP_011270364.1,145,(3R)-hydroxymyristoyl-ACP dehydratase,200,26.26,14.5,84.36,Thalassospira profundimaris WP0211,0
WP_011270365.1,346,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,198,27.84,14.08,49.03,Legionella pneumophila subsp. pneumophila,0
WP_011270366.1,246,alpha-beta hydrolase family esterase,137,6.77,0,18.51,Porphyromonas gingivalis W83,1
WP_011270367.1,100,hypothetical protein RF_0010,8,3.21,1.37,0,N/A,0
WP_011270368.1,325,ankyrin repeat-containing protein,22,4.37,0.34,0.09,Rhizopus delemar RA 99-880,0
WP_011270369.1,325,nifR3 family TIM-barrel protein,199,21.29,30.4,70.54,Rhodospirillum centenum SW,0
WP_011270370.1,127,hypothetical protein RF_0013,35,12.67,7.41,0.21,Liberibacter crescens BT-1,0
WP_011270371.1,41,hypothetical protein RF_0014,1,1,0,0,N/A,0
WP_011270372.1,82,antitoxin of toxin-antitoxin system StbD,78,8.5,0.8,19.3,Microcystis sp. T1-4,1
WP_011270373.1,92,toxin of toxin-antitoxin system,33,1.99,0.63,8.9,Rickettsiella grylli,1
WP_011270374.1,171,hypothetical protein RF_0017,200,24.7,11.43,47.59,Caulobacter segnis ATCC 21756,0
WP_011270375.1,337,Zinc/manganese ABC transporter substrate binding protein,198,19,10.83,15.69,Ruthia magnifica str. Cm (Calyptogena magnifica),0
WP_011270376.1,385,poly(A) polymerase,199,25.13,18.98,34.51,Hirschia baltica ATCC 49814,0
WP_011270377.1,404,ComEC/Rec2-like protein,186,9.77,5.75,22.44,Caenispirillum salinarum AK4,0
WP_011270378.1,300,ComEC/Rec2-like protein,158,4.37,4.41,9.7,Rhodomicrobium vannielii ATCC 17100,0
WP_011270379.1,1703,cell surface antigen Sca1,40,9.47,1.13,0,N/A,0
WP_011270380.1,106,hypothetical protein RF_0023,9,5.38,0,0.25,Amoebophilus asiaticus 5a2,0
WP_011270381.1,399,hypothetical protein RF_0024,28,2.73,1.46,0.87,Hydra magnipapillata,0
WP_011270382.1,232,hypothetical protein RF_0025,53,12.27,1.85,3.3,Amoebophilus asiaticus 5a2,0
WP_011270383.1,549,hypothetical protein RF_0026,43,1,1.07,5.84,Amoebophilus asiaticus 5a2,0
WP_011270384.1,164,ATP synthase F0F1 subunit B,56,25.19,12.14,2.12,Oceanibaculum indicum P24,0
WP_011270385.1,169,ATP synthase F0F1 subunit B',199,22.63,11.54,26.65,Pelagibacter ubique HTCC1062,0
WP_010420727.1,74,ATP synthase F0F1 subunit C,197,27.14,28.33,56.85,Trichoplax adhaerens,0
WP_011270386.1,242,ATP synthase F0F1 subunit A,194,27.59,27.93,62.06,Tistrella mobilis KA081020-065,0
WP_011270387.1,109,hypothetical protein RF_0031,71,20.79,9.49,6.57,Roseovarius sp. 217,0
WP_011270388.1,278,protein-disulfide isomerase,192,24.82,13.33,26.57,Hoeflea phototrophica DFL-43,0
WP_011270389.1,177,transcriptional regulator,200,27.11,15.48,69.24,Hyphomonas neptunium ATCC 15444,0
WP_011270390.1,534,hypothetical protein RF_0034,142,26.5,11.87,20.61,Blastopirellula marina DSM 3645,0
WP_011270391.1,420,recombination protein F,199,22.96,11.7,43.12,Mesorhizobium alhagi CCNWXJ12-2,0
WP_011270392.1,262,pyrroloquinoline quinone (coenzyme PQQ) biosynthesis protein C,178,8.23,4.34,32.98,Pelagibacter sp. IMCC9063,0
WP_011270393.1,61,dihydrofolate reductase FolA,88,16.53,7.42,24.4,Chlamydophila psittaci Cal10,0
WP_011270394.1,114,dihydrofolate reductase FolA,191,13.1,4.46,43.23,Chlamydophila abortus S26/3,0
WP_011270395.1,462,folate synthesis bifunctional protein,192,7.84,5.72,36.38,Chlamydophila felis Fe/C-56,0
WP_011270396.1,219,hypothetical protein RF_0040,45,26.61,14.31,0,N/A,0
WP_011270397.1,751,hypothetical protein RF_0041,27,4.43,0.61,0.06,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270398.1,154,hypothetical protein RF_0042,12,5.17,0.49,0,N/A,0
WP_011270399.1,198,Sco2 protein precursor,162,23.3,8.51,25.01,Kazachstania africana CBS 2517,0
WP_011270400.1,189,hypothetical protein RF_0044,200,27.53,14.06,51.93,Hyphomicrobium sp. MC1,0
WP_011270401.1,222,hypothetical protein RF_0045,48,26.01,11.19,0.39,Sinorhizobium fredii USDA 257,0
WP_011270402.1,412,cell surface antigen-like protein Sca10,16,2.32,0,0,N/A,0
WP_011270403.1,492,cell surface antigen-like protein Sca10,64,9.06,0.47,0,N/A,0
WP_011270404.1,107,cell surface antigen-like protein Sca10,47,19.62,2.21,0,N/A,0
WP_011270405.1,193,transposase,152,3.6,2.79,41.63,Cardinium endosymbiont cEper1 of Encarsia pergandiella,1
WP_011270406.1,266,transposase/IS protein,109,1.54,0,60.03,Accumulibacter phosphatis clade IIA str. UW-1,1
WP_011270407.1,147,transposase,145,1.84,0,58.91,Burkholderia multivorans CGD1,1
WP_011270408.1,203,transposase,144,2.6,0,74.64,Burkholderia multivorans CGD2M,1
WP_011270409.1,439,surface antigen,69,26.55,14.96,0.34,"Ixodes scapularis (shoulder tick, ...)",0
WP_010420471.1,188,deoxycytidine triphosphate deaminase,200,27.89,18.24,112.18,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270410.1,152,preprotein translocase subunit SecB,196,27.28,16.93,61.56,Ahrensia sp. R2A130,0
WP_011270411.1,237,transcriptional activator protein CzcR,195,27.2,14.53,90.88,Rhodospirillum centenum SW,0
WP_011270412.1,273,7-cyano-7-deazaguanine reductase,200,25.94,13.5,71.03,Dechloromonas aromatica RCB,0
WP_011270413.1,186,hypothetical protein RF_0058,200,26.94,20.31,75.61,Parvibaculum lavamentivorans DS-1,0
WP_011270414.1,465,NAD(P) transhydrogenase subunit beta,191,26.63,11.5,82.63,Legionella drancourtii LLAP12,0
WP_011270415.1,244,OmpW family outer-membrane protein,199,26.81,12.86,22.8,Brucella abortus bv. 1 str. 9-941,0
WP_011270416.1,294,S-adenosylmethionine transporter,165,26.23,18.69,25.3,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270417.1,418,proline/betaine transporter,120,26.3,17.28,19.48,Persephonella marina EX-H1,0
WP_011270418.1,234,ankyrin repeat-containing protein,36,1.16,0.31,3.84,Otolemur garnettii,0
WP_011270419.1,297,hypothetical protein RF_0064,6,1.52,0.28,0,N/A,0
WP_011270420.1,306,transposase,148,3.62,0.86,59.71,Cardinium endosymbiont cEper1 of Encarsia pergandiella,1
WP_011270421.1,223,hypothetical protein RF_0066,193,5.47,4.39,40.5,Lawsonia intracellularis PHE/MN1-00,0
WP_011270422.1,1604,cell surface antigen Sca2,44,12.14,0.97,0,N/A,0
WP_011270423.1,459,cysteinyl-tRNA synthetase,200,26.26,25.87,56.59,Methylosinus trichosporium OB3b,0
WP_011270424.1,295,30S ribosomal protein S2,195,27.25,14.43,74.19,Acetobacter aceti NBRC 14818,0
WP_011270425.1,309,elongation factor Ts,199,27.58,14.42,77.17,Rhodopseudomonas palustris DX-1,0
WP_011270426.1,336,hypothetical protein RF_0071,24,7.34,0.33,0,N/A,0
WP_011270427.1,464,3-deoxy-D-manno-octulosonic-acid transferase,199,25.02,11.77,36.15,Roseovarius nubinhibens ISM,0
WP_011270428.1,218,hypothetical protein RF_0073,197,27.06,13.68,35.67,Hippea maritima DSM 10411,0
WP_011270429.1,409,aspartate aminotransferase,198,26.33,15.28,88.39,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270430.1,334,hypothetical protein RF_0075,76,26.02,16.4,0.37,Legionella longbeachae D-4968,0
WP_011270431.1,251,VacJ lipoprotein precursor,194,25.93,14.33,37.48,Oceanicaulis sp. HTCC2633,0
WP_011270432.1,199,hypothetical protein RF_0077,196,27.17,13.64,22.75,Pelagibacter sp. IMCC9063,0
WP_011270433.1,293,ribose-phosphate pyrophosphokinase,200,5.29,1.46,75.27,Halomonas boliviensis LC1,1
WP_011270434.1,462,alanine racemase,130,17.32,9.25,20.02,Tistrella mobilis KA081020-065,0
WP_011270435.1,259,ABC transporter permease,197,27.37,21.74,72.7,Thalassospira profundimaris WP0211,0
WP_011270436.1,252,ribonucleotide ABC transporter ATP-binding protein,197,26.8,20.51,69.09,Parvibaculum lavamentivorans DS-1,0
WP_011270437.1,82,hypothetical protein RF_0082,41,21.36,10.61,0,N/A,0
WP_011270438.1,97,50S ribosomal protein L28,200,27.56,13.75,76.16,Bartonella grahamii as4aup,0
WP_011270439.1,78,50S ribosomal protein L31,89,26.87,15,13.15,Methylocella silvestris BL2,0
WP_011270440.1,212,ribosome biogenesis GTP-binding protein YsxC,199,26.38,14.49,52.59,Gluconacetobacter europaeus LMG 18494,0
WP_011270441.1,307,acetylglutamate kinase,199,22.45,4.52,22.21,Archaeoglobus fulgidus DSM 4304,0
WP_010976817.1,95,type IV secretion system protein VirB3,149,27.81,40.4,14.91,Caulobacter crescentus CB15,0
WP_011270442.1,805,type IV secretion system ATPase VirB4,148,27.94,33.24,23.42,Sphingobium yanoikuyae XLDN2-5,0
WP_011270443.1,1138,TrbL/VirB6 plasmid conjugative transfer protein,73,22.67,13.33,0.03,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270444.1,672,TrbL/VirB6 plasmid conjugative transfer protein,67,24.54,15.37,0.11,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270445.1,977,TrbL/VirB6 plasmid conjugative transfer protein,50,22.51,12.41,0,N/A,0
WP_011270446.1,890,TrbL/VirB6 plasmid conjugative transfer protein,59,25.86,13.53,0,N/A,0
WP_011270447.1,1155,TrbL/VirB6 plasmid conjugative transfer protein,61,23.15,14.41,0.22,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270448.1,78,antitoxin of toxin-antitoxin system VapB,179,2.47,0,63.68,Cyanothece sp. ATCC 51142,1
WP_011270449.1,134,toxin of toxin-antitoxin system,188,2.45,0,79.38,Piscirickettsia salmonis,1
WP_011270450.1,349,phosphate acetyltransferase,179,3.88,11.79,75.21,Accumulibacter phosphatis clade IIA str. UW-1,0
WP_011270451.1,407,acetate kinase,167,4.2,10.36,60.05,Accumulibacter phosphatis clade IIA str. UW-1,0
WP_011270452.1,94,hypothetical protein RF_0098,21,9.76,0,0,N/A,0
WP_011270453.1,234,tRNA (guanine-N(1)-)-methyltransferase,199,26.67,26.71,62.18,Hyphomicrobium denitrificans 1NES1,0
WP_011270454.1,138,50S ribosomal protein L19,200,26.97,14.61,81.94,Aromatoleum aromaticum EbN1,0
WP_011270455.1,250,transposase,166,3.57,1.29,91.61,Cardinium endosymbiont cEper1 of Encarsia pergandiella,1
WP_011270456.1,53,transposase,168,3.9,0.7,93.6,Cardinium endosymbiont cEper1 of Encarsia pergandiella,1
WP_011270457.1,282,transposase,161,3.95,0.98,73.06,Cardinium endosymbiont cEper1 of Encarsia pergandiella,1
WP_011270458.1,100,preprotein translocase subunit SecG,199,25.23,12.37,41.09,Pseudoalteromonas piscicida JCM 20779,0
WP_011270459.1,80,transposase,114,1.99,0.81,67.64,Cardinium endosymbiont cEper1 of Encarsia pergandiella,1
WP_011270460.1,317,transposase,158,3.89,1.03,73.43,Cardinium endosymbiont cEper1 of Encarsia pergandiella,1
WP_011270461.1,737,DNA topoisomerase IV subunit A,198,27.1,14.19,84.41,Thalassospira profundimaris WP0211,0
WP_011270462.1,224,hypothetical protein RF_0108,46,26.81,12.05,0.12,Azospirillum lipoferum 4B,0
WP_011270463.1,576,arginyl-tRNA synthetase,200,26.76,19.61,68.52,Pelagibacterium halotolerans B2,0
WP_011270464.1,383,deoxyguanosinetriphosphate triphosphohydrolase-like protein,199,26.93,17.39,67.5,Caenispirillum salinarum AK4,0
WP_011270465.1,150,Iron-sulfur cluster assembly accessory protein,200,20.07,11.07,47.13,Hyphomicrobium sp. MC1,0
WP_011270466.1,1356,"hypothetical protein RF_0112, partial",35,2.89,0.39,0.02,Amoebophilus asiaticus 5a2,0
WP_011270467.1,274,2-dehydro-3-deoxyphosphooctonate aldolase,200,26.6,14.07,90.11,Gluconobacter oxydans H24,0
WP_011270468.1,105,hypothetical protein RF_0114,42,22.7,10.11,0,N/A,0
WP_011270469.1,555,ABC transporter ATP-binding protein,186,27.64,16.38,84.52,Caenispirillum salinarum AK4,0
WP_011270470.1,286,ParB-like partition proteins,199,25.93,19.03,51.61,Pelagibaca bermudensis HTCC2601,0
WP_011270471.1,255,chromosome partitioning ATPase,198,27.67,28.4,75.37,Azospirillum lipoferum 4B,0
WP_011270472.1,192,16S rRNA methyltransferase GidB,200,24.71,12.69,50.67,Phaeospirillum molischianum DSM 120,0
WP_011270473.1,622,tRNA uridine 5-carboxymethylaminomethyl modification protein GidA,198,26.23,20.07,75.51,Labrenzia alexandrii DFL-11,0
WP_011270474.1,140,nucleoside diphosphate kinase,199,27.45,14.28,95.08,Pseudomonas putida GB-1,0
WP_011270475.1,429,sugar phosphate permease,198,26.69,14.13,54.38,Anaerobaculum mobile DSM 13181,0
WP_011270476.1,498,"ADP,ATP carrier protein",42,28.02,12.21,0,N/A,0
WP_011270477.1,299,site-specific DNA adenine methylase,195,1,0,72.49,Hydrogenivirga sp. 128-5-R1-1,1
WP_011270478.1,224,polypeptide deformylase,187,22.68,0,34.64,Arsenophonus nasoniae,1
WP_011270479.1,58,hypothetical protein RF_0125,22,10.87,1.65,0.41,Amoebophilus asiaticus 5a2,0
WP_011270480.1,248,hypothetical protein RF_0126,18,8.07,1.42,0.11,Desulfotomaculum kuznetsovii DSM 6115,0
WP_011270481.1,210,tellurite resistance protein-like protein,196,8.07,1.48,59.18,Methanobrevibacter ruminantium M1,1
WP_011270482.1,141,hypothetical protein RF_0128,45,21.83,10.19,0,N/A,0
WP_011270483.1,192,hypothetical protein RF_0129,60,10.02,6.67,8.76,Azospirillum brasilense Sp245,0
WP_011270484.1,181,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,199,27.62,21.7,61.04,Magnetospirillum gryphiswaldense MSR-1,0
WP_011270485.1,560,inner membrane protein translocase component YidC,199,26.72,15.97,70.71,Oceanibaculum indicum P24,0
WP_011270486.1,388,hypothetical protein RF_0132,177,26.71,12.79,36.13,Anaerophaga sp. HS1,0
WP_011270487.1,259,prolipoprotein diacylglyceryl transferase,198,27.03,19.07,70.2,Sinorhizobium fredii USDA 257,0
WP_011270488.1,407,hypothetical protein RF_0134,198,25.2,16.13,32.7,Azospirillum brasilense Sp245,0
WP_011270489.1,138,hypothetical protein RF_0135,200,5.97,1.07,81.04,Yersinia enterocolitica subsp. palearctica 105.5R(r),1
WP_011270490.1,261,succinate dehydrogenase iron-sulfur subunit,199,27.06,23.34,102.41,Hydrocarboniphaga effusa AP103,0
WP_011270491.1,171,site-specific DNA methylase,156,2.27,1.65,33.98,Borrelia burgdorferi 156a,1
WP_011270492.1,105,site-specific DNA methylase,173,9.99,1.74,87.33,Borrelia burgdorferi 156a,1
WP_011270493.1,635,ATP-dependent metalloprotease FtsH,199,27.23,22.05,80.8,Azospirillum sp. B510,0
WP_011270494.1,430,tRNA(Ile)-lysidine synthetase TilS,190,23.36,18.27,16.69,Roseibium sp. TrichSKD4,0
WP_011270495.1,171,50S ribosomal protein L9,200,27.11,13.99,52.57,Roseibium sp. TrichSKD4,0
WP_010420625.1,95,30S ribosomal protein S18,200,27.46,15.36,73.49,Tistrella mobilis KA081020-065,0
WP_011270496.1,121,30S ribosomal protein S6,200,27.24,15.43,67.33,Gluconobacter oxydans 621H,0
WP_011270497.1,122,hypothetical protein RF_0144,14,4.97,1.34,0,N/A,0
WP_011270498.1,397,acyl-CoA desaturase,194,27.39,13.46,31.98,Pseudoalteromonas sp. BSi20429,0
WP_011270499.1,389,DNA-binding/iron metalloprotein/AP endonuclease,199,22.38,18.26,60.66,Azospirillum sp. B510,0
WP_011270500.1,163,hypothetical protein RF_0147,32,26.28,1.71,0,N/A,0
WP_011270501.1,257,hypothetical protein RF_0148,17,1.26,0,1.72,Erwinia tasmaniensis Et1/99,0
WP_011270502.1,118,ClpB protein,195,23.97,14.64,83.67,Pseudovibrio sp. FO-BEG1,0
WP_011270503.1,708,ClpB protein,195,24.79,15.75,97.71,Azospirillum brasilense Sp245,0
WP_011270504.1,388,hypothetical protein RF_0151,13,2.24,1.4,0.1,Cardinium endosymbiont cEper1 of Encarsia pergandiella,0
WP_011270505.1,111,hypothetical protein RF_0152,10,3.61,0.46,0,N/A,0
WP_011270506.1,241,acetoacetyl-CoA reductase,188,11.14,12.18,88.78,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270507.1,534,hypothetical protein RF_0154,16,3.19,0.36,0,N/A,0
WP_011270508.1,128,hypothetical protein RF_0155,24,10.42,0,0,N/A,0
WP_011270509.1,440,hypothetical protein RF_0156,45,26.56,14.26,0,N/A,0
WP_011270510.1,95,hypothetical protein RF_0157,4,3.15,0,0,N/A,0
WP_011270511.1,317,transposase,160,3.9,1.03,74.36,Cardinium endosymbiont cEper1 of Encarsia pergandiella,1
WP_011270459.1,80,transposase,114,1.99,0.81,67.64,Cardinium endosymbiont cEper1 of Encarsia pergandiella,1
WP_011270512.1,108,hypothetical protein RF_0160,3,2.39,0,0,N/A,0
WP_011270513.1,499,"ADP,ATP carrier protein",40,28.1,10.28,0,N/A,0
WP_011270514.1,349,Poly-beta-hydroxybutyrate polymerase,184,11.91,9.91,17.43,Magnetospirillum gryphiswaldense MSR-1,0
WP_011270515.1,392,acetyl-CoA acetyltransferase,194,11.14,11.82,95.3,Paracoccus zeaxanthinifaciens,0
WP_011270516.1,220,hypothetical protein RF_0164,11,4.07,1.24,0,N/A,0
WP_011270517.1,1028,superfamily I DNA/RNA helicase,191,1.7,1.08,27.93,Desulfovibrio sp. U5L,1
WP_011270518.1,310,sugar kinase,193,1,0,51.36,Bradyrhizobiaceae bacterium SG-6C,1
WP_011270519.1,160,hypothetical protein RF_0167,2,1.32,0,0,N/A,0
WP_011270520.1,94,hypothetical protein RF_0168,127,7.3,1.72,39.37,Desulfococcus oleovorans Hxd3,1
WP_011270521.1,93,hypothetical protein RF_0169,68,18.78,2.33,15.13,Thioalkalivibrio thiocyanoxidans ARh 4,1
WP_011270522.1,439,hypothetical protein RF_0170,26,4.96,0.28,0,N/A,0
WP_011270523.1,313,ACP S-malonyltransferase,200,26.42,14.03,68.29,Aurantimonas manganoxydans SI85-9A1,0
WP_011270524.1,105,hypothetical protein RF_0172,11,6.68,0.23,0,N/A,0
WP_011270525.1,155,hypothetical protein RF_0173,24,6.15,0.89,0,N/A,0
WP_011270526.1,815,ATP-dependent helicase,200,25.39,13.94,35.76,Magnetospirillum magneticum AMB-1,0
WP_011270527.1,226,Surfeit locus protein 1,199,25.58,11.91,28.42,SAR116 cluster alpha proteobacterium HIMB100,0
WP_011270528.1,229,DNA polymerase III subunit epsilon,199,26.73,17.47,70.23,Loktanella vestfoldensis SKA53,0
WP_011270529.1,191,dephospho-CoA kinase,199,24.66,13.05,34.89,Fusobacterium sp. 4_1_13,0
WP_011270530.1,270,hypothetical protein RF_0178,200,25.69,13.19,43.94,Gluconobacter oxydans H24,0
WP_011270531.1,178,hypothetical protein RF_0179,200,22.34,14.38,32.7,Rhodospirillum centenum SW,0
WP_011270532.1,152,ribonuclease H,200,27.71,13.95,85.95,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270533.1,99,hypothetical protein RF_0181,200,25.85,13.37,49.72,Acetobacteraceae bacterium AT-5844,0
WP_011270534.1,149,ABC transporter substrate binding protein,196,26.89,14.33,55.64,Azospirillum brasilense Sp245,0
WP_011270535.1,94,hypothetical protein RF_0183,21,4.36,11.77,0,N/A,0
WP_011270536.1,150,hypothetical protein RF_0184,25,11.66,4.08,0,N/A,0
WP_011270537.1,176,hypothetical protein RF_0185,18,11.78,0.58,0,N/A,0
WP_011270538.1,436,proline/betaine transporter,143,16.04,8.75,15.8,Amoebophilus asiaticus 5a2,0
WP_011270539.1,172,guanosine polyphosphate pyrophosphohydrolase/synthetase-like protein SpoT4,74,16.89,8.31,6.24,Clostridium perfringens SM101,0
WP_011270540.1,56,guanosine polyphosphate pyrophosphohydrolase/synthetase-like protein SpoT4,43,24.93,10.44,0,N/A,0
WP_011270541.1,79,hypothetical protein RF_0189,41,16.23,10.27,0,N/A,0
WP_011270542.1,133,hypothetical protein RF_0190,4,1.53,1.2,0,N/A,0
WP_011270543.1,361,queuine tRNA-ribosyltransferase,191,26.72,14.07,91.64,Thalassospira profundimaris WP0211,0
WP_011270544.1,706,NAD-dependent DNA ligase LigA,196,25.82,15.07,63.73,Oceanibaculum indicum P24,0
WP_011270545.1,136,hypothetical protein RF_0193,154,2.19,1.16,72.56,Imtechella halotolerans K1,1
WP_011270546.1,256,hypothetical protein RF_0194,200,19.58,0.8,61.65,Magnetospirillum gryphiswaldense MSR-1,1
WP_011270547.1,284,hypothetical protein RF_0195,189,27.35,3.28,30.79,Sphingomonas elodea ATCC 31461,1
WP_011270548.1,325,tetraacyldisaccharide 4'-kinase,199,28.52,12.93,39.17,Magnetospirillum magneticum AMB-1,0
WP_011270549.1,290,lipid A biosynthesis lauroyl acyltransferase,193,27.82,13.31,37.59,Azospirillum brasilense Sp245,0
WP_011270550.1,155,bacterioferritin comigratory protein,198,28.76,8.21,80.61,Thalassospira xiamenensis M-5 = DSM 17429,0
WP_011270551.1,94,hypothetical protein RF_0199,5,3.49,0,0,N/A,0
WP_011270552.1,153,hypothetical protein RF_0200,27,20.46,1.11,0.26,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270553.1,95,integration host factor alpha-subunit,196,24.76,10.57,47.3,Desulfotalea psychrophila LSv54,0
WP_011270554.1,148,hypothetical protein RF_0202,22,12.66,0,0,N/A,0
WP_011270555.1,327,Beta-glucosidase,197,26.32,12.62,48.09,Sphingobium sp. SYK-6,0
WP_011270556.1,201,guanosine polyphosphate pyrophosphohydrolase/synthetase-like protein,189,23.91,5.56,38.34,Thiothrix nivea DSM 5205,0
WP_011270557.1,1654,outer membrane protein OmpB,84,50.5,13.94,0,N/A,0
WP_011270558.1,744,hypothetical protein RF_0206,69,3.01,1.19,2.05,Geodermatophilus obscurus DSM 43160,0
WP_011270559.1,673,cytochrome c-type biogenesis protein CcmF,196,20.38,11.11,32.97,Celeribacter baekdonensis B30,0
WP_011270560.1,424,hemolysin-like protein,200,27.11,20.18,57.94,Chelativorans sp. BNC1,0
WP_011270561.1,619,hypothetical protein RF_0209,44,20.13,6.39,0,N/A,0
WP_011270562.1,221,lipoprotein releasing system ATP-binding protein LolD,197,27.47,13.7,75.76,Caenispirillum salinarum AK4,0
WP_011270563.1,415,"lipoprotein releasing system, transmembrane protein",197,26.82,13.02,63.32,Thalassospira xiamenensis M-5 = DSM 17429,0
WP_011270564.1,391,bicyclomycin resistance protein,185,24.07,15.05,20.07,Legionella longbeachae NSW150,0
WP_011270565.1,82,hypothetical protein RF_0213,43,22.93,12.37,0,N/A,0
WP_011270566.1,581,multidrug resistance protein,199,23.64,13.39,47.64,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270567.1,81,hypothetical protein RF_0215,34,10.93,0,5.93,Nitrosococcus oceani ATCC 19707,0
WP_011270568.1,123,hypothetical protein RF_0216,183,22.83,1.67,39.53,Nitrosococcus halophilus Nc4,1
WP_011270569.1,224,trans-regulatory protein ExsB,199,20.85,13.04,83.78,Azospirillum lipoferum 4B,0
WP_011270570.1,183,ribosomal-protein-alanine acetyltransferase,165,25.19,13.19,36.23,Bacillus sp. 2_A_57_CT2,0
WP_011270571.1,425,ATP-dependent protease ATP-binding subunit ClpX,200,26.41,14.27,103.55,Phaeobacter gallaeciensis 2.10,0
WP_011270572.1,154,hypothetical protein RF_0220,188,9.76,1.79,77.61,Rhodanobacter fulvus Jip2,1
WP_011270573.1,431,oxidoreductase protein,178,6.73,0.3,34.75,Legionella drancourtii LLAP12,1
WP_011270574.1,642,hypothetical protein RF_0222,20,1.99,9.23,0,N/A,0
WP_011270575.1,398,hypothetical protein RF_0223,13,1.67,0,1.31,Oscillatoriales cyanobacterium JSC-12,0
WP_011270576.1,304,hypothetical protein RF_0224,16,1.36,0,1.4,Monosiga brevicollis MX1,0
WP_011270577.1,428,hypothetical protein RF_0225,199,25.49,13.68,15.98,Nesterenkonia sp. F,0
WP_011270578.1,401,ATPase,166,4.48,3.57,23.38,Simkania negevensis Z,1
WP_011270579.1,243,hypothetical protein RF_0227,153,24.48,9.96,14.63,Nematostella vectensis,0
WP_011270580.1,254,hypothetical protein RF_0228,141,23.59,10.66,12.57,Nematostella vectensis,0
WP_011270581.1,859,valyl-tRNA synthetase,199,23.5,24.14,44.18,Cardinium endosymbiont cEper1 of Encarsia pergandiella,0
WP_011270582.1,313,transposase,87,8.62,2.81,16.69,Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191,1
WP_011270583.1,280,4-hydroxybenzoate polyprenyltransferase,197,22.56,16.02,44.99,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270584.1,153,hypothetical protein RF_0232,3,1,0.43,0,N/A,0
WP_011270585.1,464,proline/betaine transporter,150,21.32,12.1,14.32,Cardinium endosymbiont cEper1 of Encarsia pergandiella,0
WP_011270586.1,206,thymidylate kinase,197,26.95,15.75,50.34,Oceanobacillus iheyensis HTE831,0
WP_011270587.1,512,methionyl-tRNA synthetase,199,26.19,19.83,78.13,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270588.1,290,"deoxyribonuclease, hydrolase",200,24.26,17.73,57.51,"Ixodes scapularis (shoulder tick, ...)",0
WP_011270589.1,335,hypothetical protein RF_0237,179,4.27,0.94,32.95,Ralstonia sp. 5_7_47FAA,1
